chemicalid,residual sugar,chlorides,sulphates
1711,2.2,84,0.66
1712,2.2,85,0.66
1713,2.3,0.08,0.67
1714,1.8,104,0.93
1715,2.2,0.09,0.63
1716,1.9,77,0.61
1717,2.0,0.0819999999999999,0.5
1718,2.2,119,0.6
1719,1.8,0.0969999999999999,0.54
1720,1.7,178,0.57
1721,2.2,119,0.6
1722,2.5,75,0.52
1723,2.6,0.08,0.53
1724,1.6,0.0819999999999999,0.48
1725,1.9,146,0.7
1726,1.7,81,0.49
1727,1.8,0.0819999999999999,0.48
1728,1.8,65,0.92
1729,1.8,72,0.57
1730,2.0,118,0.66
1731,2.3,49,0.63
1732,2.3,49,0.63
1733,1.5,0.06,0.58
1734,2.2,84,0.55
1735,1.9,0.09,0.82
1736,1.8,89,0.77
1737,2.0,81,0.64
1738,2.1,81,0.54
1739,2.0,81,0.54
1740,1.9,0.09,0.82
1741,1.8,89,0.77
1742,1.8,0.05,0.79
1743,1.7,66,0.58
1744,1.8,0.05,0.79
1745,1.8,0.1169999999999999,0.62
1746,1.8,87,0.52
1747,1.6,236,0.8
1748,2.3,74,0.58
1749,2.8,89,0.61
1750,2.1,77,0.53
1751,3.4,0.61,2.0
1752,1.8,95,0.54
1753,1.8,95,0.54
1754,5.5,0.07,0.72
1755,5.5,71,0.71
1756,5.5,0.07,0.72
1757,5.5,71,0.71
1758,2.2,73,0.5
1759,1.9,79,0.57
1760,2.0,0.09,0.56
1761,1.3,72,1.08
1762,1.7,76,0.56
1763,7.3,0.07,0.49
1764,7.2,0.07,0.49
1765,1.7,0.1,0.62
1766,2.1,85,0.52
1767,1.6,72,0.48
1768,2.1,89,0.55
1769,1.8,0.36,1.59
1770,1.8,0.0579999999999999,0.33
1771,2.0,73,0.61
1772,2.0,73,0.61
1773,1.9,68,0.57
1774,2.0,0.08,0.47
1775,1.5,85,0.78
1776,2.0,0.08,0.47
1777,2.3,87,0.61
1778,2.5,68,0.56
1779,2.4,67,0.59
1780,2.4,67,0.59
1781,2.0,0.27,1.02
1782,2.5,76,0.52
1783,1.8,77,0.58
1784,1.9,79,0.58
1785,2.0,111,0.53
1786,2.0,0.0819999999999999,0.55
1787,2.6,84,0.49
1788,2.0,84,0.55
1789,1.9,0.0819999999999999,0.55
1790,2.9,77,0.62
1791,1.9,74,0.62
1792,3.8,99,0.61
1793,2.2,71,0.55
1794,2.2,71,0.55
1795,2.0,74,0.54
1796,2.4,74,0.59
1797,2.0,67,0.97
1798,1.2,46,0.85
1799,2.1,61,0.43
1800,1.4,0.0559999999999999,0.82
1801,2.1,0.0969999999999999,1.03
1802,1.5,75,0.79
1803,1.6,88,0.55
1804,1.6,89,0.56
1805,2.6,95,0.77
1806,2.6,95,0.77
1807,1.8,69,0.53
1808,2.7,0.1,0.67
1809,2.1,54,0.88
1810,2.0,39,0.86
1811,2.8,83,0.56
1812,2.1,59,0.67
1813,2.2,0.06,0.43
1814,2.4,92,0.71
1815,5.6,0.06,0.76
1816,2.0,0.1009999999999999,0.57
1817,2.2,72,0.55
1818,1.9,76,0.54
1819,2.4,0.08,0.6
1820,2.0,0.0819999999999999,0.59
1821,2.0,0.1009999999999999,0.57
1822,1.5,57,0.6
1823,2.0,83,0.6
1824,2.0,89,0.57
1825,2.6,73,0.58
1826,2.0,337,1.61
1827,2.6,89,0.63
1828,2.6,73,0.58
1829,2.6,81,0.5
1830,1.6,54,0.62
1831,1.8,78,0.52
1832,2.8,0.09,0.7
1833,2.6,81,0.5
1834,2.3,65,0.55
1835,1.9,0.0969999999999999,0.58
1836,1.9,0.0969999999999999,0.58
1837,1.9,0.0969999999999999,0.58
1838,1.9,0.0969999999999999,0.58
1839,2.3,65,0.55
1840,1.7,263,1.09
1841,2.1,93,0.71
1842,1.8,102,0.49
1843,2.2,75,0.84
1844,2.2,75,0.84
1845,2.0,84,0.96
1846,1.9,75,0.52
1847,2.3,72,0.45
1848,1.7,74,0.48
1849,2.0,84,0.96
1850,1.6,63,0.78
1851,1.8,74,0.7
1852,3.1,0.09,0.53
1853,1.9,92,0.59
1854,1.8,74,0.7
1855,3.2,73,0.57
1856,2.2,75,0.62
1857,2.1,75,0.67
1858,1.8,611,1.26
1859,2.6,85,0.8
1860,1.7,77,0.65
1861,2.0,87,0.6
1862,1.7,0.07,0.57
1863,1.8,77,0.67
1864,2.4,64,0.87
1865,1.8,71,0.72
1866,3.3,96,0.72
1867,3.6,78,0.86
1868,3.0,77,0.91
1869,4.0,104,0.97
1870,4.0,87,0.67
1871,4.0,104,0.97
1872,4.0,71,0.78
1873,2.4,76,0.64
1874,7.0,88,0.77
1875,4.0,87,0.67
1876,3.0,77,0.91
1877,4.0,104,0.97
1878,6.4,73,0.82
1879,5.6,87,0.77
1880,3.6,71,0.82
1881,3.5,358,1.08
1882,3.0,67,0.57
1883,5.6,87,0.77
1884,3.4,102,0.71
1885,3.4,102,0.71
1886,2.0,73,0.76
1887,3.0,92,0.7
1888,2.5,91,0.86
1889,3.3,105,0.95
1890,2.5,91,0.86
1891,2.0,0.3429999999999999,0.71
1892,2.7,91,0.64
1893,2.4,98,0.6
1894,3.2,94,0.81
1895,2.5,73,0.64
1896,2.6,86,0.52
1897,2.0,83,0.73
1898,2.3,94,0.8
1899,2.1,0.08,0.71
1900,2.6,86,0.59
1901,1.5,68,0.64
1902,2.6,92,0.72
1903,1.6,186,0.54
1904,2.1,0.1119999999999999,0.52
1905,2.5,63,0.59
1906,2.2,0.0819999999999999,0.52
1907,2.4,213,0.62
1908,2.4,214,0.63
1909,1.7,62,0.53
1910,2.5,63,0.59
1911,2.0,72,0.54
1912,2.8,93,0.63
1913,3.0,76,0.53
1914,2.6,87,0.68
1915,2.5,96,0.65
1916,3.4,102,0.65
1917,2.9,0.0819999999999999,0.64
1918,3.2,83,0.71
1919,2.9,0.0819999999999999,0.64
1920,3.2,83,0.71
1921,3.4,0.09,0.62
1922,2.3,79,0.63
1923,2.8,0.09,0.7
1924,11.0,71,0.69
1925,11.0,71,0.69
1926,3.65,121,0.74
1927,4.5,107,0.83
1928,2.6,0.0819999999999999,0.67
1929,2.0,61,0.62
1930,2.9,122,0.66
1931,2.9,122,0.66
1932,3.2,66,0.54
1933,2.1,105,0.52
1934,2.5,78,0.74
1935,3.4,128,0.84
1936,1.9,52,0.7
1937,2.8,0.08,0.64
1938,3.0,103,1.0
1939,2.3,0.0819999999999999,1.36
1940,2.4,66,1.18
1941,2.7,65,0.87
1942,1.8,118,0.75
1943,1.8,118,0.75
1944,2.6,0.0819999999999999,0.78
1945,1.9,67,0.81
1946,2.7,72,0.89
1947,3.0,93,0.93
1948,2.8,89,0.92
1949,2.6,93,0.86
1950,2.7,107,0.98
1951,2.6,96,0.83
1952,2.4,0.09,0.73
1953,4.8,0.12,0.77
1954,1.4,66,0.59
1955,2.4,78,0.61
1956,3.0,0.08,0.88
1957,2.95,0.1159999999999999,0.75
1958,3.1,109,0.85
1959,2.6,88,0.68
1960,2.0,99,0.7
1961,2.6,86,0.91
1962,2.5,72,0.56
1963,2.0,71,0.87
1964,5.8,83,0.73
1965,3.4,107,0.93
1966,5.8,83,0.73
1967,2.6,76,0.69
1968,2.8,159,0.64
1969,2.4,74,1.13
1970,2.3,63,0.78
1971,1.6,0.0559999999999999,0.87
1972,1.8,67,1.04
1973,2.2,106,0.63
1974,3.8,89,0.81
1975,4.4,124,0.83
1976,3.0,78,1.11
1977,2.4,74,1.13
1978,6.2,88,0.99
1979,2.5,94,0.7
1980,2.0,0.08,0.8
1981,2.9,85,0.8
1982,2.0,0.08,0.8
1983,2.0,0.08,0.8
1984,2.1,87,0.74
1985,2.4,0.09,0.76
1986,2.0,88,0.74
1987,1.9,79,0.54
1988,1.9,88,0.74
1989,2.5,96,0.7
1990,1.4,45,0.82
1991,2.9,85,0.8
1992,2.0,0.0819999999999999,0.51
1993,2.0,0.1119999999999999,0.54
1994,2.3,63,0.57
1995,4.2,66,0.6
1996,7.9,122,0.53
1997,2.6,87,0.65
1998,2.6,87,0.65
1999,2.3,64,0.55
2000,7.9,122,0.53
2001,1.7,59,0.47
2002,2.6,85,0.61
2003,2.7,85,0.63
2004,2.7,75,0.61
2005,1.4,59,0.76
2006,2.5,63,0.65
2007,3.0,93,0.63
2008,3.7,174,0.7
2009,4.5,0.07,0.57
2010,2.5,0.08,0.62
2011,2.4,0.08,0.62
2012,1.9,0.1,0.64
2013,6.7,0.0969999999999999,0.82
2014,2.7,87,0.61
2015,6.6,0.1169999999999999,1.07
2016,2.2,111,0.66
2017,1.9,91,0.48
2018,2.0,121,0.76
2019,1.8,66,0.68
2020,2.4,89,0.73
2021,2.3,59,0.56
2022,2.0,47,0.44
2023,2.1,66,0.9
2024,2.0,47,0.44
2025,2.3,59,0.56
2026,2.1,45,0.49
2027,1.9,77,0.56
2028,1.3,0.07,0.6
2029,2.4,88,0.6
2030,2.1,66,0.9
2031,2.2,74,0.56
2032,2.3,78,0.65
2033,2.3,91,0.49
2034,3.2,76,0.89
2035,2.3,91,0.49
2036,2.0,0.06,0.56
2037,3.2,66,0.66
2038,3.2,76,0.89
2039,1.5,62,0.6
2040,2.2,72,0.82
2041,2.15,68,0.68
2042,3.7,0.1,0.68
2043,2.7,77,0.63
2044,1.7,54,0.84
2045,2.1,79,0.56
2046,2.6,81,0.73
2047,2.1,127,0.72
2048,2.0,0.1,0.56
2049,2.8,95,0.61
2050,2.8,95,0.61
2051,1.8,413,1.06
2052,1.7,84,0.63
2053,2.8,84,0.74
2054,1.6,63,0.63
2055,5.2,86,0.69
2056,2.3,95,0.58
2057,2.7,0.0969999999999999,0.58
2058,2.8,84,0.74
2059,2.2,74,0.57
2060,2.3,83,0.61
2061,2.6,87,0.61
2062,2.55,85,0.61
2063,2.2,98,0.53
2064,2.1,84,0.7
2065,2.9,98,0.91
2066,2.0,69,0.72
2067,2.6,65,0.79
2068,2.1,0.09,0.62
2069,1.2,0.07,0.58
2070,2.6,93,0.61
2071,2.4,81,0.71
2072,2.6,83,0.82
2073,2.1,62,0.79
2074,1.7,0.08,0.89
2075,2.2,87,0.6
2076,2.0,91,0.7
2077,1.8,75,1.06
2078,2.2,87,0.6
2079,2.7,77,0.7
2080,15.5,69,0.66
2081,2.8,0.08,0.92
2082,2.2,152,1.05
2083,2.2,152,1.06
2084,4.1,114,0.66
2085,1.9,54,0.47
2086,1.9,54,0.47
2087,1.8,53,0.42
2088,2.8,81,0.92
2089,2.6,73,0.75
2090,2.8,78,0.67
2091,2.5,55,0.79
2092,2.6,52,0.9
2093,3.0,86,0.74
2094,8.3,51,0.55
2095,2.6,0.07,0.65
2096,1.9,81,0.65
2097,2.5,0.09,0.79
2098,2.6,0.07,0.65
2099,3.0,86,0.74
2100,1.9,81,0.65
2101,6.55,74,0.85
2102,6.55,74,0.85
2103,1.9,78,1.04
2104,1.8,77,1.05
2105,2.9,72,0.78
2106,1.8,75,1.02
2107,2.3,84,0.71
2108,2.2,0.09,0.63
2109,2.8,84,0.68
2110,4.6,73,0.61
2111,2.2,0.09,0.63
2112,2.1,125,0.81
2113,2.4,107,0.66
2114,2.4,107,0.66
2115,6.1,122,1.14
2116,4.3,0.1,0.74
2117,2.1,0.2,0.63
2118,2.8,88,0.68
2119,2.5,88,0.78
2120,2.7,88,0.9
2121,2.0,88,0.64
2122,2.3,99,0.99
2123,2.5,85,0.55
2124,2.4,86,0.64
2125,2.8,105,0.67
2126,2.5,88,0.78
2127,2.5,0.0969999999999999,0.77
2128,2.6,84,0.75
2129,2.4,77,0.57
2130,2.1,78,0.87
2131,2.7,98,0.61
2132,2.7,98,0.61
2133,2.1,72,0.66
2134,2.7,102,0.56
2135,2.1,78,0.87
2136,2.4,77,0.57
2137,2.1,84,0.77
2138,5.8,66,0.66
2139,5.15,0.1,0.62
2140,3.3,0.1009999999999999,0.67
2141,6.3,64,0.73
2142,2.1,0.07,0.59
2143,2.5,85,0.72
2144,1.8,75,0.79
2145,2.6,94,0.59
2146,2.0,78,0.78
2147,2.5,67,0.86
2148,2.6,79,0.75
2149,1.9,171,0.61
2150,2.1,74,0.56
2151,2.8,92,0.73
2152,2.7,92,0.74
2153,1.6,0.05,0.62
2154,4.2,95,0.74
2155,4.2,95,0.74
2156,4.6,118,0.56
2157,4.2,95,0.74
2158,4.6,118,0.56
2159,4.3,85,0.68
2160,2.8,75,0.57
2161,2.4,78,0.58
2162,2.9,94,0.61
2163,2.7,92,0.61
2164,4.3,85,0.68
2165,2.8,75,0.57
2166,2.5,226,0.6
2167,2.5,226,0.6
2168,2.6,0.25,0.79
2169,2.2,95,0.57
2170,3.3,0.07,0.91
2171,2.2,95,0.57
2172,2.4,75,0.61
2173,2.1,0.07,0.56
2174,3.2,78,0.7
2175,3.1,79,0.8
2176,2.3,103,0.52
2177,2.8,83,0.6
2178,2.9,85,0.6
2179,2.2,63,0.51
2180,2.2,89,0.44
2181,2.2,89,0.44
2182,2.2,83,0.43
2183,1.9,74,0.66
2184,3.4,93,0.76
2185,2.4,91,0.66
2186,2.7,94,1.02
2187,1.9,108,0.59
2188,2.0,0.06,0.74
2189,2.6,59,0.74
2190,2.6,84,0.57
2191,1.7,0.07,0.5
2192,2.6,84,0.57
2193,3.5,94,0.58
2194,2.6,96,0.53
2195,7.9,86,0.57
2196,2.0,59,0.6
2197,1.9,71,0.63
2198,2.1,78,0.48
2199,2.3,0.0819999999999999,0.7
2200,2.1,88,0.47
2201,2.2,71,0.56
2202,2.6,81,0.52
2203,2.2,71,0.56
2204,2.9,96,0.62
2205,2.6,85,0.59
2206,4.6,72,0.79
2207,3.3,92,0.53
2208,5.1,0.11,0.64
2209,3.2,75,0.52
2210,2.5,83,0.54
2211,2.7,81,0.54
2212,2.4,77,0.6
2213,1.5,0.0579999999999999,0.74
2214,2.2,148,1.36
2215,2.3,79,0.57
2216,2.3,79,0.57
2217,2.2,79,0.93
2218,2.7,122,0.7
2219,2.3,88,0.8
2220,3.4,76,0.61
2221,3.4,78,0.62
2222,1.9,0.08,0.55
2223,2.9,77,0.96
2224,5.6,124,0.72
2225,5.6,124,0.72
2226,2.2,98,0.49
2227,2.2,98,0.49
2228,2.5,0.0969999999999999,0.6
2229,2.3,111,0.61
2230,2.5,0.0969999999999999,0.6
2231,2.7,105,0.63
2232,3.0,87,0.57
2233,3.4,105,0.64
2234,1.9,73,0.58
2235,1.4,65,0.55
2236,2.4,86,0.53
2237,2.3,84,0.53
2238,2.2,143,0.65
2239,1.9,67,1.36
2240,2.3,71,0.62
2241,2.3,71,0.63
2242,2.3,71,0.62
2243,2.3,71,0.63
2244,2.3,71,0.62
2245,6.0,115,0.69
2246,3.6,107,0.63
2247,2.2,0.07,0.58
2248,2.8,66,0.67
2249,8.6,68,0.57
2250,2.2,106,0.5
2251,2.5,104,0.67
2252,7.5,96,0.84
2253,2.8,79,0.54
2254,2.4,74,0.46
2255,2.9,87,0.61
2256,2.2,106,0.5
2257,1.4,73,0.68
2258,1.4,74,0.81
2259,4.4,96,0.57
2260,1.4,74,0.81
2261,1.6,0.08,0.64
2262,1.6,76,0.7
2263,1.8,0.05,0.79
2264,2.0,92,0.66
2265,2.0,84,0.56
2266,1.8,222,0.6
2267,2.0,0.0819999999999999,0.66
2268,2.3,59,0.57
2269,2.0,0.0819999999999999,0.66
2270,2.5,83,0.58
2271,1.7,74,0.52
2272,2.0,79,0.53
2273,1.7,74,0.52
2274,2.2,84,0.67
2275,2.2,64,0.65
2276,2.2,84,0.67
2277,2.3,84,0.48
2278,2.6,81,0.53
2279,3.3,0.06,0.54
2280,1.9,0.07,0.49
2281,2.2,94,0.49
2282,2.25,78,0.54
2283,2.6,59,0.56
2284,2.3,78,0.48
2285,2.6,59,0.56
2286,1.8,0.07,0.6
2287,3.1,95,0.59
2288,1.6,39,0.47
2289,1.8,157,1.05
2290,4.25,0.0969999999999999,0.54
2291,2.6,87,0.54
2292,2.0,422,1.17
2293,2.8,84,0.62
2294,2.7,84,0.61
2295,1.3,34,0.62
2296,2.1,66,0.67
2297,2.1,66,0.67
2298,3.2,87,0.53
2299,2.1,71,0.62
2300,2.9,76,0.57
2301,2.1,66,0.67
2302,2.1,67,0.67
2303,2.6,73,0.7
2304,1.6,78,0.54
2305,6.0,73,0.49
2306,2.0,93,0.47
2307,3.0,77,0.51
2308,2.5,68,0.61
2309,1.6,62,0.66
2310,2.8,0.08,0.57
2311,3.0,93,0.61
2312,3.2,84,0.45
2313,2.3,75,0.46
2314,2.6,78,0.51
2315,2.7,69,0.48
2316,2.3,75,0.46
2317,2.6,79,0.57
2318,2.0,0.0819999999999999,0.44
2319,3.9,86,0.54
2320,2.0,0.0819999999999999,0.44
2321,2.85,94,0.53
2322,2.7,84,0.59
2323,2.2,53,1.62
2324,3.1,86,0.6
2325,3.0,77,0.55
2326,2.8,84,0.72
2327,1.8,67,0.68
2328,1.8,67,0.68
2329,3.2,71,0.49
2330,2.3,387,0.67
2331,3.45,88,0.52
2332,2.1,92,0.47
2333,2.7,0.0819999999999999,0.6
2334,2.0,75,0.62
2335,2.1,0.1119999999999999,0.5
2336,2.1,0.1119999999999999,0.5
2337,2.5,93,0.65
2338,2.8,92,0.56
2339,2.4,88,0.6
2340,4.2,75,0.68
2341,2.6,78,0.57
2342,1.9,65,0.65
2343,2.8,96,0.53
2344,2.7,95,0.51
2345,2.1,0.07,0.73
2346,2.5,0.08,0.47
2347,2.6,83,0.48
2348,2.1,71,0.72
2349,2.1,0.07,0.73
2350,2.9,89,0.55
2351,2.9,89,0.55
2352,2.5,0.0969999999999999,0.61
2353,2.9,89,0.55
2354,1.7,415,1.06
2355,1.9,0.0579999999999999,0.43
2356,2.0,57,0.46
2357,2.2,84,0.5
2358,2.2,84,0.5
2359,2.5,92,0.52
2360,2.8,75,0.57
2361,2.0,96,0.42
2362,1.7,69,0.53
2363,2.0,96,0.42
2364,2.8,93,0.55
2365,3.0,91,0.54
2366,2.9,89,0.54
2367,2.7,103,0.62
2368,2.3,0.0819999999999999,0.53
2369,1.9,76,0.54
2370,2.3,0.0819999999999999,0.53
2371,2.4,0.0819999999999999,0.55
2372,2.3,0.0819999999999999,0.55
2373,1.8,157,0.92
2374,1.8,157,0.91
2375,3.0,102,0.46
2376,2.4,243,0.6
2377,2.4,241,0.59
2378,3.4,79,0.61
2379,2.6,76,0.6
2380,2.0,0.19,0.6
2381,2.4,114,0.65
2382,2.4,81,0.53
2383,2.4,114,0.65
2384,2.5,77,0.59
2385,2.3,83,0.5
2386,2.3,83,0.5
2387,2.2,79,0.56
2388,2.2,79,0.56
2389,2.9,99,0.52
2390,2.6,0.0819999999999999,0.68
2391,2.9,84,0.54
2392,2.5,81,0.6
2393,2.6,55,0.56
2394,2.3,65,0.53
2395,2.6,132,1.18
2396,2.5,126,0.74
2397,1.6,38,0.81
2398,3.6,0.0819999999999999,0.52
2399,3.6,0.0819999999999999,0.52
2400,4.0,0.0819999999999999,0.51
2401,3.3,68,0.44
2402,1.7,44,0.94
2403,2.5,114,0.66
2404,2.7,84,0.57
2405,2.4,52,0.7
2406,2.0,0.0409999999999999,0.71
2407,2.4,52,0.7
2408,1.9,165,0.86
2409,2.8,0.07,0.55
2410,2.6,68,0.47
2411,2.8,72,0.68
2412,2.5,99,0.71
2413,2.1,102,0.58
2414,2.8,103,0.76
2415,2.5,99,0.71
2416,3.2,81,0.58
2417,1.6,84,0.73
2418,2.35,71,0.45
2419,3.2,0.0969999999999999,0.54
2420,1.9,99,0.6
2421,2.1,48,0.74
2422,2.0,76,0.64
2423,2.0,76,0.64
2424,2.8,68,0.53
2425,2.8,76,0.49
2426,2.3,0.05,0.64
2427,2.8,76,0.49
2428,2.3,65,0.74
2429,2.1,71,0.77
2430,2.5,0.0579999999999999,0.55
2431,2.1,71,0.77
2432,1.5,145,0.86
2433,1.6,147,0.86
2434,1.6,88,0.47
2435,1.5,66,0.51
2436,2.4,12,0.39
2437,2.4,12,0.39
2438,1.6,75,0.83
2439,2.2,92,0.47
2440,2.65,85,0.77
2441,3.0,115,0.63
2442,2.6,119,0.72
2443,2.0,88,0.62
2444,1.7,62,0.83
2445,1.8,81,0.66
2446,1.8,81,0.66
2447,1.8,78,0.7
2448,1.8,81,0.66
2449,1.6,0.08,0.66
2450,1.9,85,0.55
2451,1.9,85,0.55
2452,2.5,0.08,1.07
2453,1.5,0.08,0.73
2454,1.5,0.08,0.73
2455,2.5,71,0.71
2456,1.5,0.08,0.73
2457,2.5,73,0.78
2458,1.7,54,0.67
2459,1.8,74,0.82
2460,2.7,77,0.54
2461,2.0,39,0.6
2462,2.7,67,0.44
2463,2.5,78,0.53
2464,2.7,77,0.54
2465,2.6,77,0.54
2466,2.3,71,0.83
2467,2.0,72,0.84
2468,1.8,74,0.82
2469,2.0,0.08,0.64
2470,2.1,64,0.57
2471,1.5,86,0.57
2472,2.0,67,0.54
2473,1.6,67,0.58
2474,2.1,104,0.65
2475,2.8,109,0.79
2476,2.2,67,0.58
2477,2.1,64,0.57
2478,4.0,94,0.5
2479,2.5,76,0.55
2480,1.6,78,0.49
2481,2.1,68,0.65
2482,3.1,0.1939999999999999,0.78
2483,2.5,76,0.55
2484,4.0,94,0.5
2485,2.5,86,0.64
2486,2.4,83,0.65
2487,2.6,66,0.79
2488,2.5,72,0.56
2489,6.6,0.1119999999999999,0.68
2490,2.0,71,0.58
2491,2.3,78,0.57
2492,1.9,0.0819999999999999,0.65
2493,2.3,78,0.57
2494,2.2,0.08,0.58
2495,2.3,0.08,0.58
2496,2.4,78,0.77
2497,2.3,0.08,0.58
2498,2.4,78,0.77
2499,3.4,84,0.49
2500,2.6,0.0559999999999999,0.69
2501,2.4,0.08,0.69
2502,2.4,0.08,0.69
2503,6.0,0.06,0.59
2504,6.0,0.06,0.59
2505,3.0,81,0.59
2506,2.6,84,0.71
2507,2.2,79,0.54
2508,2.4,78,0.59
2509,1.2,59,0.52
2510,3.8,132,0.57
2511,9.0,114,0.6
2512,2.9,65,0.62
2513,4.6,94,0.64
2514,1.2,59,0.52
2515,2.2,79,0.67
2516,1.5,161,0.61
2517,8.8,84,0.64
2518,2.2,81,0.72
2519,1.8,72,0.89
2520,2.3,91,0.56
2521,2.2,81,0.72
2522,1.8,72,0.89
2523,8.8,84,0.64
2524,2.3,55,0.8
2525,1.9,64,0.87
2526,2.3,61,0.9
2527,2.2,93,0.59
2528,2.3,55,0.8
2529,3.3,63,0.73
2530,1.9,0.08,0.73
2531,2.0,74,0.65
2532,1.9,78,0.59
2533,2.0,74,0.65
2534,1.9,0.08,0.73
2535,2.3,0.06,0.72
2536,2.3,0.06,0.72
2537,1.4,71,0.6
2538,2.8,68,0.72
2539,1.6,73,0.54
2540,2.2,74,0.76
2541,5.0,0.0819999999999999,0.52
2542,2.6,92,0.64
2543,2.3,94,0.6
2544,3.8,0.09,0.64
2545,2.0,71,0.79
2546,4.1,92,0.99
2547,2.1,93,0.62
2548,1.8,75,0.76
2549,1.8,75,0.76
2550,1.8,75,0.76
2551,2.1,93,0.62
2552,2.2,0.0579999999999999,0.68
2553,2.1,52,0.69
2554,2.7,0.0819999999999999,0.54
2555,1.9,0.09,0.67
2556,2.1,111,0.62
2557,2.0,88,0.58
2558,2.3,0.12,0.71
2559,2.0,89,0.61
2560,1.9,0.0579999999999999,0.85
2561,1.6,78,0.62
2562,2.1,115,0.69
2563,2.0,0.1,0.69
2564,1.9,0.0579999999999999,0.85
2565,2.4,65,0.86
2566,2.4,103,0.58
2567,2.1,0.0969999999999999,0.48
2568,2.4,68,0.6
2569,2.9,79,0.61
2570,1.9,66,0.87
2571,1.9,66,0.87
2572,2.4,104,0.65
2573,1.7,79,0.63
2574,5.9,73,0.62
2575,2.1,83,0.52
2576,2.1,83,0.52
2577,2.6,109,0.5
2578,3.6,61,0.49
2579,1.4,75,0.63
2580,1.9,65,0.71
2581,1.9,79,0.62
2582,2.1,0.07,0.82
2583,1.9,65,0.71
2584,1.4,75,0.63
2585,2.0,64,0.58
2586,1.4,66,0.55
2587,1.6,0.08,0.5
2588,1.7,0.0969999999999999,0.49
2589,1.5,73,0.51
2590,1.7,0.0969999999999999,0.49
2591,2.0,0.0819999999999999,0.48
2592,2.0,76,0.48
2593,2.0,0.0819999999999999,0.48
2594,2.5,92,0.43
2595,2.0,79,0.62
2596,2.2,87,0.63
2597,2.2,87,0.63
2598,1.4,0.05,0.48
2599,1.65,55,0.53
2600,2.2,62,0.72
2601,1.5,0.0579999999999999,0.82
2602,2.05,63,0.84
2603,1.8,67,0.55
2604,1.6,81,0.54
2605,1.8,67,0.55
2606,2.05,63,0.84
2607,2.0,64,0.84
2608,3.6,0.11,0.7
2609,2.8,0.1159999999999999,0.68
2610,1.7,67,0.55
2611,2.0,88,0.55
