sulfurid,free sulfur dioxide,total sulfur dioxide
3372,6.0,18.0
3373,24.0,42.0
3374,7.0,35.0
3375,19.0,49.0
3376,7.0,35.0
3377,8.0,38.0
3378,7.0,20.0
3379,10.0,42.0
3380,10.0,42.0
3381,23.0,110.0
3382,16.0,42.0
3383,11.0,65.0
3384,8.0,62.0
3385,26.0,85.0
3386,14.0,67.0
3387,9.0,26.0
3388,15.0,143.0
3389,17.0,144.0
3390,21.0,127.0
3391,21.0,49.0
3392,16.0,126.0
3393,7.0,28.0
3394,7.0,28.0
3395,24.0,120.0
3396,15.0,55.0
3397,12.0,27.0
3398,13.0,93.0
3399,12.0,31.0
3400,9.0,24.0
3401,39.0,145.0
3402,16.0,49.0
3403,16.0,39.0
3404,14.0,37.0
3405,9.0,28.0
3406,9.0,28.0
3407,26.0,120.0
3408,18.0,95.0
3409,7.0,19.0
3410,5.0,19.0
3411,10.0,62.0
3412,5.0,15.0
3413,28.0,65.0
3414,10.0,41.0
3415,26.0,121.0
3416,13.0,49.0
3417,11.0,41.0
3418,10.0,44.0
3419,24.0,144.0
3420,24.0,58.0
3421,16.0,72.0
3422,5.0,10.0
3423,8.0,28.0
3424,15.0,55.0
3425,29.0,63.0
3426,27.0,81.0
3427,9.0,23.0
3428,29.0,63.0
3429,10.0,37.0
3430,19.0,106.0
3431,12.0,49.0
3432,18.0,58.0
3433,10.0,37.0
3434,7.0,37.0
3435,14.0,38.0
3436,14.0,38.0
3437,15.0,39.0
3438,14.0,38.0
3439,7.0,37.0
3440,5.0,62.0
3441,6.0,24.0
3442,28.0,109.0
3443,10.0,24.0
3444,10.0,24.0
3445,6.0,23.0
3446,16.0,51.0
3447,11.0,73.0
3448,9.0,39.0
3449,6.0,23.0
3450,16.0,37.0
3451,16.0,34.0
3452,5.0,21.0
3453,8.0,86.0
3454,16.0,34.0
3455,17.0,119.0
3456,5.0,13.0
3457,12.0,56.0
3458,8.0,45.0
3459,14.0,33.0
3460,18.0,45.0
3461,12.0,67.0
3462,10.0,35.0
3463,23.0,49.0
3464,5.0,27.0
3465,6.0,10.0
3466,26.0,61.0
3467,15.0,37.0
3468,7.0,27.0
3469,4.0,23.0
3470,27.0,61.0
3471,4.0,23.0
3472,17.0,65.0
3473,10.0,38.0
3474,27.0,94.0
3475,27.0,61.0
3476,7.0,27.0
3477,4.0,23.0
3478,5.0,13.0
3479,10.0,47.0
3480,6.0,19.0
3481,5.0,10.0
3482,12.0,53.0
3483,10.0,47.0
3484,32.0,71.0
3485,32.0,71.0
3486,25.0,49.0
3487,29.0,53.0
3488,20.0,49.0
3489,33.0,98.0
3490,20.0,49.0
3491,6.0,18.0
3492,18.0,48.0
3493,5.0,16.0
3494,17.0,53.0
3495,5.0,27.0
3496,26.0,70.0
3497,8.0,29.0
3498,5.0,31.0
3499,8.0,33.0
3500,20.0,44.0
3501,7.0,15.0
3502,12.0,28.0
3503,5.0,21.0
3504,12.0,90.0
3505,6.0,25.0
3506,7.0,54.0
3507,6.0,14.0
3508,5.0,12.0
3509,9.0,30.0
3510,6.0,25.0
3511,15.0,105.0
3512,19.0,98.0
3513,30.0,135.0
3514,26.0,72.0
3515,20.0,53.0
3516,37.0,92.0
3517,30.0,74.0
3518,21.0,59.0
3519,30.0,74.0
3520,21.0,59.0
3521,25.0,87.0
3522,6.0,18.0
3523,35.0,73.0
3524,13.0,50.0
3525,13.0,50.0
3526,6.0,14.0
3527,5.0,13.0
3528,6.0,21.0
3529,7.0,15.0
3530,10.0,41.0
3531,10.0,41.0
3532,21.0,114.0
3533,16.0,44.0
3534,17.0,38.0
3535,7.0,21.0
3536,6.0,16.0
3537,29.0,58.0
3538,28.0,99.0
3539,12.0,29.0
3540,10.0,21.0
3541,5.0,18.0
3542,6.0,14.0
3543,6.0,14.0
3544,6.0,32.0
3545,40.0,63.0
3546,17.0,34.0
3547,6.0,15.0
3548,15.0,46.0
3549,11.0,28.0
3550,17.0,34.0
3551,11.0,26.0
3552,8.0,19.0
3553,23.0,77.0
3554,40.5,165.0
3555,17.0,32.0
3556,29.0,55.0
3557,12.0,29.0
3558,10.0,23.0
3559,10.0,41.0
3560,14.0,81.0
3561,21.0,50.0
3562,6.0,37.0
3563,6.0,15.0
3564,7.0,42.0
3565,7.0,21.0
3566,7.0,42.0
3567,11.0,24.0
3568,15.0,75.0
3569,6.0,18.0
3570,35.0,63.0
3571,11.0,25.0
3572,26.0,46.0
3573,12.0,72.0
3574,6.0,47.0
3575,6.0,15.0
3576,19.0,47.0
3577,6.0,18.0
3578,6.0,24.0
3579,24.0,60.0
3580,11.0,27.0
3581,17.0,43.0
3582,11.0,27.0
3583,11.0,27.0
3584,23.0,54.0
3585,11.0,37.0
3586,23.0,48.0
3587,17.0,42.0
3588,23.0,53.0
3589,16.0,49.0
3590,12.0,88.0
3591,17.0,43.0
3592,6.0,26.0
3593,13.0,95.0
3594,6.0,25.0
3595,7.0,38.0
3596,68.0,124.0
3597,13.0,49.0
3598,13.0,49.0
3599,9.0,42.0
3600,68.0,124.0
3601,20.0,38.0
3602,19.0,64.0
3603,10.0,41.0
3604,15.0,27.0
3605,11.0,25.0
3606,9.0,28.0
3607,12.0,30.0
3608,6.0,16.0
3609,26.0,49.0
3610,26.0,86.0
3611,23.0,78.0
3612,15.0,77.0
3613,6.0,19.0
3614,24.0,122.0
3615,31.0,134.0
3616,6.0,20.0
3617,34.0,124.0
3618,7.0,20.0
3619,34.0,52.0
3620,35.0,67.0
3621,32.0,48.0
3622,15.0,60.0
3623,6.0,24.0
3624,15.0,60.0
3625,32.0,48.0
3626,19.0,48.0
3627,6.0,32.0
3628,9.0,30.0
3629,13.0,35.0
3630,6.0,24.0
3631,21.0,66.0
3632,12.0,24.0
3633,6.0,18.0
3634,22.0,54.0
3635,6.0,18.0
3636,38.0,62.0
3637,6.0,22.0
3638,22.0,54.0
3639,7.0,50.0
3640,6.0,29.0
3641,7.0,27.0
3642,6.0,43.0
3643,11.0,19.0
3644,5.0,27.0
3645,6.0,31.0
3646,31.0,72.0
3647,6.0,16.0
3648,7.0,27.0
3649,17.0,35.0
3650,17.0,35.0
3651,9.0,26.0
3652,18.0,35.0
3653,5.0,22.0
3654,21.0,67.0
3655,6.0,19.0
3656,5.0,22.0
3657,29.0,65.0
3658,5.0,22.0
3659,10.0,47.0
3660,14.0,23.0
3661,6.0,19.0
3662,10.0,25.0
3663,25.0,129.0
3664,5.0,15.0
3665,10.0,26.0
3666,21.0,51.0
3667,7.0,18.0
3668,6.0,21.0
3669,36.0,48.0
3670,15.0,47.0
3671,25.0,52.0
3672,25.0,68.0
3673,5.0,14.0
3674,10.0,24.0
3675,5.0,28.0
3676,6.0,16.0
3677,6.0,20.0
3678,5.0,28.0
3679,6.0,31.0
3680,6.0,23.0
3681,6.0,17.0
3682,6.0,18.0
3683,7.0,18.0
3684,6.0,24.0
3685,6.0,17.0
3686,6.0,17.0
3687,5.0,14.0
3688,35.0,67.0
3689,10.0,26.0
3690,24.0,56.0
3691,12.0,25.0
3692,13.0,27.0
3693,23.0,81.0
3694,28.0,91.0
3695,5.0,16.0
3696,14.0,38.0
3697,43.0,113.0
3698,5.0,16.0
3699,23.0,81.0
3700,14.0,38.0
3701,38.0,76.0
3702,38.0,76.0
3703,6.0,24.0
3704,6.0,22.0
3705,10.0,26.0
3706,6.0,21.0
3707,6.0,13.0
3708,26.0,62.0
3709,23.0,43.0
3710,19.0,43.0
3711,26.0,62.0
3712,15.0,49.0
3713,6.0,15.0
3714,6.0,15.0
3715,34.0,151.0
3716,5.0,14.0
3717,5.0,16.0
3718,11.0,32.0
3719,39.0,106.0
3720,15.0,33.0
3721,16.0,43.0
3722,47.0,133.0
3723,38.0,142.0
3724,23.0,116.0
3725,29.0,53.0
3726,39.0,106.0
3727,33.0,85.0
3728,32.0,55.0
3729,6.0,33.0
3730,1.0,28.0
3731,12.0,42.0
3732,12.0,42.0
3733,15.0,33.0
3734,13.0,32.0
3735,1.0,28.0
3736,6.0,33.0
3737,5.0,13.0
3738,5.0,35.0
3739,5.0,17.0
3740,20.0,47.0
3741,5.0,17.0
3742,5.0,20.0
3743,16.0,53.0
3744,6.0,15.0
3745,38.0,106.0
3746,10.0,28.0
3747,6.0,21.0
3748,27.0,69.0
3749,6.0,25.0
3750,9.0,25.0
3751,14.0,45.0
3752,14.0,44.0
3753,32.0,96.0
3754,10.0,23.0
3755,10.0,23.0
3756,10.0,17.0
3757,10.0,23.0
3758,10.0,17.0
3759,6.0,47.0
3760,5.0,19.0
3761,26.0,121.0
3762,41.0,110.0
3763,25.0,60.0
3764,6.0,47.0
3765,5.0,19.0
3766,5.0,15.0
3767,5.0,15.0
3768,5.0,20.0
3769,19.0,42.0
3770,10.0,37.0
3771,19.0,42.0
3772,10.0,28.0
3773,14.0,47.0
3774,20.0,78.0
3775,28.0,46.0
3776,6.0,14.0
3777,18.0,111.0
3778,17.0,110.0
3779,18.0,40.0
3780,5.0,14.0
3781,5.0,14.0
3782,5.0,15.0
3783,10.0,21.0
3784,54.0,80.0
3785,8.0,38.0
3786,16.0,47.0
3787,18.0,102.0
3788,19.0,50.0
3789,5.0,13.0
3790,21.0,75.0
3791,23.0,149.0
3792,21.0,75.0
3793,9.0,43.0
3794,20.0,38.0
3795,30.0,109.0
3796,6.0,24.0
3797,5.0,18.0
3798,5.0,30.0
3799,11.0,22.0
3800,7.0,23.0
3801,12.0,35.0
3802,6.0,14.0
3803,12.0,35.0
3804,14.0,63.0
3805,6.0,24.0
3806,10.0,20.0
3807,26.0,52.0
3808,11.0,65.0
3809,15.0,39.0
3810,25.0,57.0
3811,5.0,16.0
3812,18.0,29.0
3813,10.0,29.0
3814,10.0,103.0
3815,28.0,71.0
3816,28.0,71.0
3817,14.0,28.0
3818,4.0,17.0
3819,6.0,16.0
3820,16.0,112.0
3821,14.0,104.0
3822,9.0,32.0
3823,21.0,45.0
3824,21.0,58.0
3825,21.0,58.0
3826,5.0,15.0
3827,5.0,15.0
3828,7.0,31.0
3829,20.0,84.0
3830,7.0,31.0
3831,5.0,19.0
3832,21.0,43.0
3833,11.0,86.0
3834,46.0,102.0
3835,24.0,33.0
3836,30.0,147.0
3837,31.0,145.0
3838,7.0,23.0
3839,25.0,57.0
3840,16.0,40.0
3841,21.0,68.0
3842,16.0,40.0
3843,21.0,68.0
3844,16.0,40.0
3845,5.0,11.0
3846,6.0,20.0
3847,5.0,14.0
3848,10.0,28.0
3849,24.0,148.0
3850,8.0,32.0
3851,35.0,155.0
3852,22.0,71.0
3853,9.0,30.0
3854,7.0,29.0
3855,20.0,53.0
3856,8.0,32.0
3857,23.0,42.0
3858,5.0,20.0
3859,5.0,13.0
3860,5.0,20.0
3861,15.0,42.0
3862,9.0,27.0
3863,5.0,13.0
3864,15.0,54.0
3865,25.0,48.0
3866,6.0,16.0
3867,6.0,15.0
3868,15.0,31.0
3869,6.0,15.0
3870,30.0,45.0
3871,5.0,13.0
3872,32.0,151.0
3873,5.0,13.0
3874,7.0,17.0
3875,12.0,31.0
3876,7.0,17.0
3877,12.0,31.0
3878,45.0,87.0
3879,20.0,49.0
3880,15.0,40.0
3881,16.0,29.0
3882,32.0,58.0
3883,5.0,15.0
3884,35.0,152.0
3885,5.0,15.0
3886,13.0,40.0
3887,13.0,38.0
3888,4.0,9.0
3889,5.0,17.0
3890,5.0,14.0
3891,12.0,93.0
3892,16.0,62.0
3893,21.0,122.0
3894,24.0,125.0
3895,18.0,44.0
3896,8.0,25.0
3897,8.0,25.0
3898,18.0,72.0
3899,5.0,19.0
3900,26.0,88.0
3901,8.0,25.0
3902,9.0,23.0
3903,22.0,84.0
3904,4.0,14.0
3905,11.0,54.0
3906,10.0,19.0
3907,16.0,37.0
3908,11.0,35.0
3909,13.0,33.0
3910,21.0,84.0
3911,16.0,112.0
3912,13.0,33.0
3913,10.0,48.0
3914,21.0,77.0
3915,13.0,34.0
3916,10.0,48.0
3917,12.0,49.0
3918,10.0,22.0
3919,17.0,45.0
3920,10.0,22.0
3921,35.0,106.0
3922,15.0,48.0
3923,36.0,127.0
3924,5.0,12.0
3925,5.0,13.0
3926,18.0,49.0
3927,4.0,11.0
3928,4.0,11.0
3929,27.0,58.0
3930,12.0,37.0
3931,4.0,14.0
3932,10.0,19.0
3933,16.0,72.0
3934,9.0,39.0
3935,11.0,22.0
3936,11.0,22.0
3937,19.0,58.0
3938,28.0,104.0
3939,19.0,38.0
3940,12.0,16.0
3941,28.0,139.0
3942,9.0,18.0
3943,25.0,101.0
3944,21.0,101.0
3945,12.0,28.0
3946,12.0,57.0
3947,16.0,68.0
3948,12.0,31.0
3949,12.0,28.0
3950,17.0,40.0
3951,17.0,40.0
3952,24.0,66.0
3953,17.0,40.0
3954,14.0,32.0
3955,22.0,47.0
3956,15.0,33.0
3957,10.0,31.0
3958,10.0,31.0
3959,33.0,88.0
3960,9.0,104.0
3961,5.0,35.0
3962,8.0,19.0
3963,5.0,35.0
3964,11.0,44.0
3965,12.0,48.0
3966,12.0,74.0
3967,13.0,98.0
3968,24.0,94.0
3969,7.0,32.0
3970,24.0,94.0
3971,23.0,143.0
3972,23.0,144.0
3973,1.0,44.0
3974,2.0,45.0
3975,7.0,16.0
3976,5.5,48.0
3977,6.0,18.0
3978,7.0,34.0
3979,21.0,92.0
3980,12.0,45.0
3981,9.0,37.0
3982,26.0,96.0
3983,9.0,37.0
3984,20.0,85.0
3985,11.0,61.0
3986,11.0,61.0
3987,19.0,58.0
3988,19.0,58.0
3989,21.0,119.0
3990,18.0,82.0
3991,25.0,130.0
3992,17.0,87.0
3993,7.0,13.0
3994,7.0,26.0
3995,7.0,60.0
3996,24.0,64.0
3997,21.0,42.0
3998,5.0,14.0
3999,5.0,14.0
4000,26.0,108.0
4001,8.0,17.0
4002,14.0,86.0
4003,14.0,46.0
4004,4.0,18.0
4005,4.0,10.0
4006,4.0,10.0
4007,4.0,10.0
4008,4.0,12.0
4009,4.0,15.0
4010,4.0,14.0
4011,7.0,24.0
4012,20.0,38.0
4013,4.0,7.0
4014,19.0,41.0
4015,20.0,38.0
4016,8.0,30.0
4017,19.0,27.0
4018,21.0,47.0
4019,9.0,59.0
4020,9.0,22.0
4021,16.0,42.0
4022,15.0,36.0
4023,15.0,36.0
4024,6.0,16.0
4025,15.0,37.0
4026,4.0,8.0
4027,15.0,37.0
4028,34.0,45.0
4029,16.0,24.0
4030,5.0,9.0
4031,16.0,24.0
4032,34.0,48.0
4033,36.0,51.0
4034,16.0,23.0
4035,27.0,55.0
4036,36.0,100.0
4037,36.0,100.0
4038,9.0,28.0
4039,13.0,26.0
4040,9.0,34.0
4041,21.0,31.0
4042,34.0,68.0
4043,9.0,92.0
4044,26.0,42.0
4045,14.0,31.0
4046,14.0,31.0
4047,12.0,39.0
4048,14.0,31.0
4049,12.0,32.0
4050,9.0,22.0
4051,9.0,22.0
4052,26.0,122.0
4053,41.0,55.0
4054,41.0,55.0
4055,10.0,14.0
4056,41.0,55.0
4057,16.0,47.0
4058,17.0,32.0
4059,15.0,24.0
4060,15.0,85.0
4061,15.0,88.0
4062,7.0,25.0
4063,17.0,84.0
4064,15.0,85.0
4065,16.0,86.0
4066,13.0,24.0
4067,13.0,22.0
4068,15.0,24.0
4069,27.0,43.0
4070,31.0,43.0
4071,36.0,46.0
4072,28.0,48.0
4073,6.0,10.0
4074,6.0,10.0
4075,7.0,16.0
4076,7.0,14.0
4077,31.0,43.0
4078,30.0,69.0
4079,18.0,88.0
4080,10.0,21.0
4081,30.0,35.0
4082,14.0,26.0
4083,18.0,88.0
4084,30.0,69.0
4085,9.0,30.0
4086,8.0,28.0
4087,29.0,56.0
4088,32.0,64.0
4089,23.0,99.0
4090,30.0,52.0
4091,16.0,86.0
4092,10.0,18.0
4093,16.0,86.0
4094,17.0,88.0
4095,27.0,43.0
4096,17.0,43.0
4097,27.0,43.0
4098,17.0,43.0
4099,6.0,11.0
4100,10.0,39.0
4101,16.0,33.0
4102,16.0,33.0
4103,11.0,18.0
4104,11.0,18.0
4105,15.0,115.0
4106,12.0,78.0
4107,6.0,9.0
4108,34.0,61.0
4109,7.0,11.0
4110,3.0,11.0
4111,3.0,9.0
4112,4.0,8.0
4113,3.0,10.0
4114,7.0,11.0
4115,3.0,6.0
4116,7.0,62.0
4117,26.0,45.0
4118,32.0,79.0
4119,38.0,46.0
4120,10.0,23.0
4121,32.0,79.0
4122,38.0,46.0
4123,26.0,45.0
4124,14.0,28.0
4125,53.0,77.0
4126,52.0,73.0
4127,11.0,75.0
4128,14.0,28.0
4129,10.0,19.0
4130,8.0,25.0
4131,13.0,38.0
4132,29.0,66.0
4133,13.0,38.0
4134,8.0,25.0
4135,19.0,72.0
4136,19.0,72.0
4137,6.0,26.0
4138,23.0,42.0
4139,7.0,11.0
4140,13.0,25.0
4141,9.0,17.0
4142,13.0,52.0
4143,10.0,45.0
4144,11.0,24.0
4145,7.0,20.0
4146,11.0,24.0
4147,6.0,12.0
4148,10.0,21.0
4149,10.0,21.0
4150,10.0,21.0
4151,6.0,12.0
4152,6.0,10.0
4153,5.0,9.0
4154,6.0,11.0
4155,9.0,23.0
4156,5.0,10.0
4157,12.0,51.0
4158,25.0,36.0
4159,12.0,32.0
4160,18.0,38.0
4161,7.0,18.0
4162,6.0,16.0
4163,20.0,27.0
4164,18.0,38.0
4165,24.0,48.0
4166,6.0,10.0
4167,23.0,113.0
4168,29.0,46.0
4169,7.0,22.0
4170,6.0,10.0
4171,6.0,10.0
4172,6.0,13.0
4173,6.0,12.0
4174,7.0,13.0
4175,35.0,72.0
4176,35.0,72.0
4177,31.0,119.0
4178,9.0,29.0
4179,3.0,6.0
4180,8.0,17.0
4181,13.0,28.0
4182,51.0,70.0
4183,8.0,17.0
4184,3.0,6.0
4185,7.0,11.0
4186,3.0,7.0
4187,35.0,70.0
4188,19.0,27.0
4189,14.0,21.0
4190,19.0,27.0
4191,31.0,68.0
4192,30.0,47.0
4193,31.0,68.0
4194,20.0,88.0
4195,19.0,41.0
4196,3.0,11.0
4197,3.0,11.0
4198,4.0,10.0
4199,7.0,12.0
4200,6.0,12.0
4201,31.0,47.0
4202,13.0,27.0
4203,4.0,8.0
4204,27.0,45.0
4205,4.0,8.0
4206,13.0,27.0
4207,12.0,25.0
4208,12.0,24.0
4209,26.0,55.0
4210,7.0,12.0
4211,12.0,19.0
4212,11.0,32.0
4213,22.0,31.0
4214,3.0,7.0
4215,14.0,27.0
4216,12.0,28.0
4217,36.0,109.0
4218,36.0,109.0
4219,10.0,23.0
4220,3.0,8.0
4221,3.0,8.0
4222,4.0,9.0
4223,3.0,9.0
4224,12.0,18.0
4225,17.0,43.0
4226,14.0,36.0
4227,28.0,52.0
4228,41.0,68.0
4229,12.0,18.0
4230,9.0,14.0
4231,9.0,15.0
4232,5.0,14.0
4233,14.0,27.0
4234,15.0,48.0
4235,5.0,17.0
4236,26.0,35.0
4237,20.0,56.0
4238,25.0,42.0
4239,21.0,39.0
4240,16.0,32.0
4241,13.0,26.0
4242,21.0,39.0
4243,18.0,39.0
4244,12.0,53.0
4245,32.0,38.0
4246,33.0,45.0
4247,27.0,51.0
4248,3.0,14.0
4249,6.0,17.0
4250,27.0,51.0
4251,16.0,45.0
4252,19.0,25.0
4253,9.0,20.0
4254,5.0,77.0
4255,5.0,77.0
4256,3.0,10.0
4257,28.0,90.0
4258,30.0,52.0
4259,3.0,10.0
4260,3.0,8.0
4261,7.0,16.0
4262,6.0,15.0
4263,6.0,17.0
4264,5.0,10.0
4265,6.0,20.0
4266,13.0,26.0
4267,3.0,10.0
4268,3.0,10.0
4269,28.0,52.0
4270,19.0,37.0
4271,30.0,92.0
4272,33.0,75.0
4273,16.0,37.0
4274,30.0,92.0
4275,45.0,67.0
4276,3.0,8.0
4277,3.0,8.0
4278,3.0,8.0
4279,37.5,278.0
4280,3.0,8.0
4281,37.5,289.0
4282,31.0,70.0
4283,32.0,59.0
4284,31.0,70.0
4285,40.0,64.0
4286,3.0,9.0
4287,18.0,30.0
4288,22.0,41.0
4289,22.0,41.0
4290,42.0,74.0
4291,8.0,19.0
4292,10.0,16.0
4293,11.0,31.0
4294,9.0,17.0
4295,6.0,20.0
4296,9.0,17.0
4297,5.0,18.0
4298,5.0,16.0
4299,5.0,18.0
4300,23.0,36.0
4301,14.0,25.0
4302,18.0,30.0
4303,14.0,25.0
4304,16.0,25.0
4305,13.0,49.0
4306,9.0,17.0
4307,10.0,24.0
4308,4.0,13.0
4309,27.0,66.0
4310,6.0,14.0
4311,23.0,55.0
4312,6.0,35.0
4313,3.0,10.0
4314,29.0,80.0
4315,15.0,21.0
4316,15.0,21.0
4317,15.0,21.0
4318,14.0,24.0
4319,7.0,15.0
4320,8.0,17.0
4321,21.0,28.0
4322,27.0,33.0
4323,17.0,29.0
4324,3.0,13.0
4325,13.0,27.0
4326,3.0,11.0
4327,26.0,52.0
4328,28.0,89.0
4329,24.0,70.0
4330,5.0,10.0
4331,57.0,135.0
4332,18.0,38.0
4333,10.0,18.0
4334,6.0,15.0
4335,22.0,50.0
4336,6.0,13.0
4337,6.0,13.0
4338,29.0,94.0
4339,16.0,86.0
4340,33.0,79.0
4341,24.0,71.0
4342,6.0,12.0
4343,16.0,20.0
4344,35.0,70.0
4345,31.0,51.0
4346,6.0,21.0
4347,6.0,14.0
4348,9.0,21.0
4349,6.0,11.0
4350,4.0,12.0
4351,16.0,70.0
4352,9.0,38.0
4353,17.0,38.0
4354,50.0,63.0
4355,9.0,38.0
4356,45.0,88.0
4357,16.0,101.0
4358,22.0,54.0
4359,11.0,37.0
4360,6.0,20.0
4361,12.0,21.0
4362,12.0,19.0
4363,10.0,21.0
4364,10.0,21.0
4365,15.0,38.0
4366,7.0,60.0
4367,29.0,48.0
4368,8.0,44.0
4369,5.0,14.0
4370,5.0,12.0
4371,26.0,44.0
4372,5.0,16.0
4373,26.0,65.0
4374,26.0,65.0
4375,48.0,59.0
4376,23.0,47.0
4377,6.0,11.0
4378,17.0,78.0
4379,11.0,47.0
4380,11.0,47.0
4381,5.0,11.0
4382,41.0,54.0
4383,16.0,61.0
4384,11.0,119.0
4385,6.0,39.0
4386,6.0,12.0
4387,6.0,39.0
4388,11.0,119.0
4389,5.0,19.0
4390,6.0,20.0
4391,6.0,12.0
4392,11.0,41.0
4393,6.0,12.0
4394,15.0,64.0
4395,21.0,56.0
4396,23.0,94.0
4397,4.0,9.0
4398,19.0,77.0
4399,23.0,94.0
4400,4.0,9.0
4401,5.0,10.0
4402,6.0,12.0
4403,33.0,76.0
4404,24.0,44.0
4405,24.0,44.0
4406,24.0,44.0
4407,24.0,52.0
4408,24.0,44.0
4409,14.0,24.0
4410,8.0,15.0
4411,22.0,53.0
4412,8.0,15.0
4413,5.0,13.0
4414,6.0,9.0
4415,20.0,29.0
4416,10.0,79.0
4417,43.0,74.0
4418,8.0,24.0
4419,25.0,50.0
4420,17.0,44.0
4421,17.0,44.0
4422,33.0,89.0
4423,9.0,23.0
4424,8.0,20.0
4425,18.0,77.0
4426,27.0,46.0
4427,8.0,21.0
4428,18.0,88.0
4429,19.0,66.0
4430,15.0,58.0
4431,48.0,90.0
4432,19.0,66.0
4433,14.0,36.0
4434,11.0,18.0
4435,6.0,113.0
4436,7.0,17.0
4437,11.0,18.0
4438,12.0,24.0
4439,11.0,20.0
4440,36.0,60.0
4441,28.0,65.0
4442,15.0,40.0
4443,10.0,86.0
4444,72.0,160.0
4445,15.0,34.0
4446,15.0,48.0
4447,15.0,34.0
4448,22.0,36.0
4449,24.0,37.0
4450,24.0,37.0
4451,27.0,60.0
4452,6.0,14.0
4453,6.0,13.0
4454,20.0,35.0
4455,26.0,46.0
4456,43.0,60.0
4457,12.0,69.0
4458,15.0,33.0
4459,15.0,33.0
4460,19.0,56.0
4461,17.0,24.0
4462,34.0,66.0
4463,13.0,26.0
4464,26.0,51.0
4465,16.0,36.0
4466,16.0,36.0
4467,13.0,19.0
